Player,Position,Team,Salary
Andre Roberson,SG,Oklahoma City Thunder,9.25926
Trevor Booker,PF,Philadelphia 76ers,9.125
Dwight Powell,C,Dallas Mavericks,9.003125
Gerald Henderson,SG,Philadelphia 76ers,9
Jerryd Bayless,PG,Philadelphia 76ers,9
Avery Bradley,SG,LA Clippers,8.808989
JaMychal Green,PF,Memphis Grizzlies,8.533333
E\'Twaun Moore,SF,New Orleans Pelicans,8.445024
Rudy Gay,SF,San Antonio Spurs,8.406
Kosta Koufos,C,Sacramento Kings,8.393
Markieff Morris,PF,Washington Wizards,8
Garrett Temple,SF,Sacramento Kings,8
Vince Carter,SG,Sacramento Kings,8
Yi Jianlian,SF,Los Angeles Lakers,8
CJ Miles,SF,Toronto Raptors,7.936509
Cristiano Felicio,C,Chicago Bulls,7.8335
Shaun Livingston,PG,Golden State Warriors,7.692308
Cory Joseph,PG,Indiana Pacers,7.63
PJ Tucker,SF,Houston Rockets,7.590035
Corey Brewer,SG,Oklahoma City Thunder,7.579366
Andrew Wiggins,SF,Minnesota Timberwolves,7.574323
Boris Diaw,C,Utah Jazz,7.5
Darrell Arthur,PF,Denver Nuggets,7.464912
Channing Frye,PF,Los Angeles Lakers,7.420912
Trevor Ariza,SF,Houston Rockets,7.420912
Festus Ezeli,C,Portland Trail Blazers,7.4
Al-Farouq Aminu,PF,Portland Trail Blazers,7.319035
Cole Aldrich,C,Minnesota Timberwolves,7.3
D.J. Augustin,PG,Orlando Magic,7.25
Markelle Fultz,PG,Philadelphia 76ers,7.02624
Lou Williams,SG,LA Clippers,7
Jeremy Lamb,SG,Charlotte Hornets,7
Rodney Stuckey,PG,Indiana Pacers,7
Kyle Korver,SG,Cleveland Cavaliers,7
Jae Crowder,PF,Utah Jazz,6.796117
Jabari Parker,PF,Milwaukee Bucks,6.782392
Langston Galloway,SG,Detroit Pistons,6.666667
Lance Thomas,SF,New York Knicks,6.655325
Carl Landry,PF,Philadelphia 76ers,6.5
Tim Duncan,C,San Antonio Spurs,6.39375
Andrew Nicholson,PF,Portland Trail Blazers,6.362998
Ed Davis,PF,Portland Trail Blazers,6.352531
